scorer,DLC_resnet50_Circling_FinalJul23shuffle4_100000,DLC_resnet50_Circling_FinalJul23shuffle4_100000,DLC_resnet50_Circling_FinalJul23shuffle4_100000,DLC_resnet50_Circling_FinalJul23shuffle4_100000,DLC_resnet50_Circling_FinalJul23shuffle4_100000,DLC_resnet50_Circling_FinalJul23shuffle4_100000
bodyparts,nose,nose,nose,tail,tail,tail
coords,x,y,likelihood,x,y,likelihood
55,721.8109741210938,934.372802734375,0.9645869731903076,677.4395751953125,718.502197265625,0.5769480466842651
56,722.4038696289062,930.9437255859375,0.9688599109649658,672.4818725585938,718.4935302734375,0.3518906533718109
57,730.8417358398438,921.3991088867188,0.9676380157470703,663.4056396484375,718.4935302734375,0.5730969309806824
58,740.7607421875,908.4515380859375,0.9774801731109619,658.58984375,717.4312133789062,0.522132933139801
59,752.4990844726562,887.3360595703125,0.9794468879699707,643.3656005859375,715.6173095703125,0.8585449457168579
60,763.3364868164062,860.607177734375,0.953719973564148,635.9159545898438,715.6173095703125,0.9121275544166565
61,770.3682861328125,829.3070068359375,0.9719817638397217,631.0294189453125,715.6173095703125,0.9497609734535217
62,772.1583251953125,802.5435180664062,0.975473165512085,626.31640625,719.3071899414062,0.9753125905990601
63,772.1583251953125,778.9373779296875,0.941070556640625,621.7745361328125,723.9581909179688,0.9602463841438293
64,772.1583251953125,753.8710327148438,0.9462490677833557,617.1295166015625,729.3119506835938,0.963394820690155
65,770.0880737304688,730.9773559570312,0.9532991051673889,616.4456176757812,737.067138671875,0.9798739552497864
66,760.421875,712.7807006835938,0.961746871471405,616.3762817382812,745.3390502929688,0.9529938101768494
67,752.6519165039062,701.8167724609375,0.9704107642173767,616.3762817382812,759.310546875,0.9590408205986023
68,747.3568115234375,693.4380493164062,0.964629590511322,616.3762817382812,775.280517578125,0.904293417930603
69,735.545166015625,686.520751953125,0.97662353515625,616.75439453125,786.9887084960938,0.9524959325790405
70,720.91064453125,679.3054809570312,0.9768182039260864,619.8811645507812,798.3001098632812,0.8968769907951355
71,700.74169921875,670.8511352539062,0.9712551236152649,622.20703125,802.9461669921875,0.9676955342292786
72,675.8180541992188,670.5709228515625,0.9602174758911133,624.7662353515625,806.1806640625,0.965364396572113
73,655.091552734375,669.2027587890625,0.9716830849647522,627.540771484375,808.2227783203125,0.9581024050712585
74,644.7568359375,669.1080932617188,0.9768415093421936,629.8165283203125,811.2277221679688,0.9070615768432617
75,638.9967651367188,663.7353515625,0.9782711863517761,633.5582275390625,813.4530029296875,0.9285620450973511
76,634.736083984375,661.9034423828125,0.965360701084137,637.3174438476562,817.9400634765625,0.9535349011421204
77,623.3308715820312,661.9034423828125,0.9830067753791809,641.0319213867188,821.2862548828125,0.9592221975326538
78,608.2636108398438,660.382568359375,0.9830418825149536,647.2092895507812,826.2943725585938,0.9408621191978455
79,596.0750732421875,659.08642578125,0.9814871549606323,653.7376708984375,828.3817138671875,0.9424126148223877
80,587.4418334960938,659.08642578125,0.9703890681266785,658.13623046875,828.3817138671875,0.9459702968597412
81,578.1052856445312,657.91552734375,0.981406569480896,661.33740234375,828.3817138671875,0.9395867586135864
82,570.1217651367188,657.303955078125,0.9698812961578369,663.3024291992188,823.7683715820312,0.9422293901443481
83,561.7252197265625,656.9624633789062,0.9827902317047119,663.3024291992188,821.7864379882812,0.9585956335067749
84,555.3414916992188,652.1076049804688,0.9598948955535889,663.3024291992188,820.8201904296875,0.9195412397384644
85,546.0960083007812,650.591064453125,0.9836980104446411,662.5682983398438,816.424560546875,0.9234356880187988
86,537.5298461914062,650.591064453125,0.974133312702179,662.490478515625,814.8720092773438,0.9169621467590332
87,527.987548828125,650.591064453125,0.9753053188323975,662.490478515625,812.4856567382812,0.8987063765525818
88,519.8115234375,660.6021118164062,0.9706405997276306,662.490478515625,808.6046752929688,0.9420063495635986
89,519.8115234375,671.3396606445312,0.9713262915611267,666.7334594726562,808.1219482421875,0.9214820861816406
90,519.8115234375,674.8291015625,0.9721277356147766,679.0819091796875,807.7925415039062,0.8729752898216248
91,522.234375,676.0496215820312,0.9664260149002075,695.3457641601562,807.7139892578125,0.9391766786575317
92,522.234375,683.4287719726562,0.9682594537734985,706.7050170898438,803.9609375,0.8563439249992371
93,522.234375,695.3477783203125,0.9803928732872009,710.5234985351562,798.3840942382812,0.8401235938072205
94,521.0008544921875,703.9325561523438,0.9783512949943542,713.7434692382812,796.7949829101562,0.8701156973838806
95,521.0008544921875,717.57666015625,0.9715198874473572,715.2108764648438,794.4862670898438,0.8646964430809021
96,521.0008544921875,735.3941650390625,0.9767258763313293,715.222900390625,794.43310546875,0.8101877570152283
97,527.4927368164062,755.3806762695312,0.9871483445167542,719.2415771484375,793.7227783203125,0.750422477722168
98,538.2033081054688,776.2410888671875,0.9777116775512695,723.875,789.4683227539062,0.6984661221504211
99,552.398681640625,796.9413452148438,0.9702373147010803,723.875,783.3833618164062,0.8675503134727478
100,570.5860595703125,816.2223510742188,0.974251925945282,723.875,777.3690185546875,0.8173446655273438
101,590.415283203125,832.825439453125,0.9821614027023315,729.6969604492188,769.2276000976562,0.9403840899467468
102,610.2498168945312,846.5779418945312,0.97479647397995,736.5493774414062,769.2276000976562,0.984548807144165
103,625.3040161132812,857.44580078125,0.9794604778289795,746.0844116210938,769.2276000976562,0.9212448596954346
104,632.621337890625,864.2640991210938,0.9642339944839478,746.4862670898438,769.2276000976562,0.9358434677124023
105,647.153564453125,869.085205078125,0.980226993560791,746.4862670898438,769.2276000976562,0.9228792786598206
106,661.5249633789062,873.3389892578125,0.97257000207901,746.512939453125,769.18359375,0.904531717300415
107,665.9381713867188,878.2400512695312,0.9575894474983215,746.512939453125,765.8910522460938,0.8526817560195923
